# ls_id        ra_1        dec_1        
  J0427+0859   66.780125   8.9840833    
  J0427+2612   66.866656   26.201464    
  J0429+2630   67.440334   26.513002    
  J0430+2608   67.530184   26.139109    
  J0430+2556   67.73828    25.9443      
  J0432+1812   68.066945   18.212902    
  J0435-1414   68.810625   -14.246333   
  J0435+2249   68.964299   22.819986    
  J0436+1151   69.115313   11.856772    
  J0436-4114   69.116167   -41.24625    
  J0443+0002   70.906708   0.03475      
  J0444+0543   71.061625   5.7325833    
  J0445-0602   71.296626   -6.04797     
  J0455-2701   73.886125   -27.030382   
  J0518-3101   79.547125   -31.031361   
  J0528-3252   82.184828   -32.87302    
  J0534-0631   83.566417   -6.5276944   
  J0534-1511   83.743333   -15.195278   
  J0538-0241   84.660789   -2.69885     
  J0538-0228   84.728844   -2.482874    
  J0539-0233   84.797492   -2.559105    
  J0539-0238   84.834313   -2.64052     
  J0557-1359   89.462333   -13.997306   
  J0608-2944   92.009669   -29.749729   
  J0614+4536   93.72001    45.615471    
  J0619-2903   94.969167   -29.066444   
  J0620-1645   95.217207   -16.761532   
  J0641-2821   100.41836   -28.350651   
  J0650-3729   102.72858   -37.489727   
  J0652-5741   103.20212   -57.693778   
  J0701+2614   105.27428   26.236763    
  J0701-3814   105.38429   -38.239166   
  J0704+5051   106.20559   50.865467    
  J0706+3858   106.61898   38.973537    
  J0710+2809   107.70447   28.152552    
  J0721+1937   110.44271   19.629002    
  J0723+4048   110.8866    40.8132      
  J0726+3939   111.69773   39.65005     
  J0728+3657   112.08625   36.9569      
  J0728+3753   112.14526   37.88878     
  J0729+4010   112.41442   40.17583     
  J0730+3731   112.69547   37.52797     
  J0730+1553   112.70416   15.886735    
  J0731+3721   112.8042    37.36268     
  J0731+4018   112.91418   40.30402     
  J0731+3635   112.92679   36.59407     
  J0732+2916   113.24172   29.27889     
  J0733+4223   113.267     42.38728     
  J0733+2717   113.35129   27.28711     
  J0733+3654   113.36022   36.90802     
  J0734+2909   113.64051   29.15861     
  J0734+3012   113.65243   30.21105     
  J0734+4017   113.71624   40.29866     
  J0735+2813   113.81462   28.22952     
  J0735+3231   113.84092   32.52161     
  J0735+2741   113.87967   27.6942      
  J0735+3150   113.88275   31.83757     
  J0735+3709   113.88367   37.14261     
  J0735+3831   113.94028   38.52168     
  J0735+2808   113.97955   28.13796     
  J0735+3809   113.98102   38.16449     
  J0736+2040   114.0072    20.680017    
  J0736+3911   114.02776   39.18577     
  J0736+3307   114.02999   33.13134     
  J0736+2855   114.03202   28.93227     
  J0736+3303   114.05083   33.06455     
  J0736+3859   114.13516   38.99721     
  J0736+3336   114.19097   33.61153     
  J0736+3740   114.23227   37.67514     
  J0737+2831   114.26337   28.52243     
